,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
224,2022-07,US,U.S. Total,99,All Sectors,OB2,biomass,4.34236,million MMBtu
225,2022-06,US,U.S. Total,99,All Sectors,OB2,biomass,4.15556,million MMBtu
226,2022-06,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,0.92094,million MMBtu
227,2022-06,US,U.S. Total,99,All Sectors,WOC,waste coal,5.96869,million MMBtu
228,2022-06,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,295.97339,million MMBtu
229,2022-06,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.07858,million MMBtu
230,2022-06,US,U.S. Total,99,All Sectors,WND,wind,296.05197,million MMBtu
231,2022-06,US,U.S. Total,99,All Sectors,WAS,renewable waste products,23.39935,million MMBtu
232,2022-06,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
233,2022-06,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
234,2022-06,US,U.S. Total,99,All Sectors,SUN,solar,141.07037,million MMBtu
235,2022-06,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,422.60256,million MMBtu
236,2022-06,US,U.S. Total,99,All Sectors,STH,solar thermal,3.29007,million MMBtu
237,2022-06,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,137.78031,million MMBtu
238,2022-06,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,4.39962,million MMBtu
239,2022-06,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,96.39075,million MMBtu
240,2022-06,US,U.S. Total,99,All Sectors,NUC,nuclear,685.49818,million MMBtu
241,2022-06,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1323.99573,million MMBtu
242,2022-06,US,U.S. Total,99,All Sectors,NG,natural gas,1302.33279,million MMBtu
243,2022-06,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,10.17452,million MMBtu
244,2022-06,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,19.2438,million MMBtu
245,2022-06,US,U.S. Total,99,All Sectors,LIG,lignite coal,39.87433,million MMBtu
